Identifiant Museofile,Region administrative,Departement,Commune,Nom officiel du musee,Adresse,Lieu,Code Postal,Telephone,Latitude,Longitude,REF_Deps
M1102,Île-de-France,Paris,Paris,maison de Balzac,47 rue Raynouard,Hotel particulier,75016,01 55 74 41 80,"48,855398","2,280805",7511616
M1109,Île-de-France,Paris,Paris,musee de la Liberation de Paris - musee du general Leclerc - musee Jean Moulin,23 allee de la 2eme Division Blindee,Jardin Atlantique,75015,01 40 64 39 44,"48,840614","2,319773",7511503
M5025,Île-de-France,Paris,Paris (7eme),musee de l'armee,"129, rue de Grenelle",Hotel National des Invalides,75007,01 44 42 37 72,"48,858219","2,312885",7510701
M5026,Île-de-France,Paris,Paris (16eme),musee national de la marine,"17, place du Trocadero",Palais de Chaillot,75116,01 53 65 69 69,"48,86425","2,293754",7511618
M5057,Île-de-France,Paris,Paris (19eme),musee de la musique,"221, avenue Jean-Jaures",Cite de La Musique,75019,01 44 84 45 00 ; 01 44 84 44 84 (visites avec conferencier),"48,889306","2,393807",7510802
M5060,Île-de-France,Paris,Paris (7eme),musee d'Orsay,"1, rue de Bellechasse",,75007,01 40 49 48 14,"48,859157","2,323672",7510705
M5065,Île-de-France,Paris,Paris (3eme),musee des arts et metiers,"60, rue Reaumur",Conservatoire des arts et metiers,75003,01 53 01 82 20,"48,865357","2,357046",7510304
M5066,Île-de-France,Paris,Paris (6eme),musee des monnaies et medailles,"11, quai de Conti",La Monnaie de Paris,75006,01 40 46 57 57,"48,857003","2,338699",7510609
M7005,Île-de-France,Paris,Paris (5eme),galerie d'entomologie (museum national d'histoire naturelle),"57, rue Cuvier",,75005,01 40 79 30 00,"48,843834","2,355199",7510512
M7006,Île-de-France,Paris,Paris (5eme),grande galerie de l'evolution (museum national d'histoire naturelle),"36, rue Geoffroy Saint-Hilaire",museum d'Histoire Naturelle,75005,01 40 79 39 39,"48,841491","2,355989",7510503
M1111,Île-de-France,Paris,Paris,"Petit Palais, musee des beaux-arts de la ville de Paris",Avenue Winston-Churchill,Musee,75008,01 53 43 40 00,"48,86609","2,313763",7510808
M1114,Île-de-France,Paris,Paris,maison de Victor Hugo,6 place des Vosges,Hotel de Rohan-Guemenee,75004,01 42 72 10 16,"48,854808","2,366232",7510405
M1115,Île-de-France,Paris,Paris,musee Zadkine,100 bis rue d'Assas,,75006,01 43 26 91 90,"48,842793","2,333457",7510608
M5003,Île-de-France,Paris,Paris (5eme),musee du Moyen age - thermes et hotel de Cluny,"6, place Paul Painleve",Hotel de Cluny,75005,01 53 73 78 00,"48,850437","2,344553",7510501
M5021,Île-de-France,Paris,Paris (1er),musee des arts decoratifs (Union centrale des arts decoratifs),"107, rue de Rivoli",Palais du Louvre,75001,01 44 55 57 50,"48,863218","2,3333",7510102
M5044,Île-de-France,Paris,Paris (7eme),musee Rodin,77 rue de Varenne,Hotel Biron,75007,01 44 18 61 10,"48,855868","2,31598",7510703
M5050,Île-de-France,Paris,Paris (4eme),musee national d'art moderne (centre national d'art et de culture Georges Pompidou),Place Georges Pompidou,Centre Georges Pompidou,75191,01 44 78 12 33,"48,8608043228","2,3522235406",7510402
M7003,Île-de-France,Paris,Paris (5eme),galerie d'anatomie comparee et de paleontologie (museum national d'histoire naturelle),"2, rue Buffon",Jardin des Plantes,75005,01 40 79 38 90,"48,842168","2,359933",7510508
M0377,Île-de-France,Seine-et-Marne,Le Mee-sur-Seine,musee Henri Chapu,"937, rue Henri Chapu",,77350,01 64 79 77 72,"48,534859","2,635235",7728501
M0382,Île-de-France,Seine-et-Marne,Nemours,musee de prehistoire d'Île-de-France,48 avenue Etienne Dailly,,77140,01 64 78 54 80,"48,260312","2,714321",7733301
M0384,Île-de-France,Seine-et-Marne,Saint-Cyr-sur-Morin,musee des pays de Seine-et-Marne,"17, avenue de la Ferte-sous-Jouarre",,77750,01 60 24 46 00,"48,90803","3,18169",7740501
M0371,Île-de-France,Seine-et-Marne,Chelles,musee Alfred Bonno,Place de la Republique,,77500,01 64 72 65 80,"48,87766","2,591845",7710801
M0374,Île-de-France,Seine-et-Marne,Crecy-la-Chapelle,musee municipal,s'adresser a la mairie,,77580,,"48,8581326314","2,9084415093",7714201
M0375,Île-de-France,Seine-et-Marne,Fontainebleau,musee d'art et d'histoire militaire,88 rue St Honore,,77300,01 64 22 49 80,"48,406893","2,698781",7718602
M9013,Île-de-France,Seine-et-Marne,Melun,musee de la Gendarmerie,Avenue du 13e Dragons,,77000,01 64 14 54 64,"48,54648","2,651583",7728803
M0373,Île-de-France,Seine-et-Marne,Coupvray,maison natale de Louis Braille,"13, rue Louis Braille",,77400,01 60 04 82 80,"48,867372","2,712931",7713201
M0378,Île-de-France,Seine-et-Marne,Meaux,musee Bossuet,"5, place Charles-de-Gaulle",Palais Episcopal,77100,01 64 34 84 45,"48,938016","2,87061",7728401
M0379,Île-de-France,Seine-et-Marne,Melun,musee de Melun,5 rue du Franc Mûrier,,77000,01 64 79 77 70,"48,536398","2,658972",7728802
M0381,Île-de-France,Seine-et-Marne,Nemours,chateau musee de Nemours,Rue Gautier 1er - Cour du Chateau,Chateau,77140,01 64 28 27 42,"48,265518","2,696157",7733302
M0383,Île-de-France,Seine-et-Marne,Provins,musee de Provins et du Provinois,"7, rue du Palais",,77160,01 64 01 40 19,"48,561624","3,290374",7737901
M0386,Île-de-France,Seine-et-Marne,Vulaines-sur-Seine,musee departemental Stephane Mallarme,"4, quai Stephane-Mallarme",Pont de Valvins,77870,01 64 23 73 27,"48,430323","2,746605",7753301
M1171,Île-de-France,Seine-et-Marne,Meaux,musee de la Grande Guerre,Rue Lazare Ponticelli,,77100,01 60 32 14 18,"48,955281","2,901461",7728402
M5013,Île-de-France,Seine-et-Marne,Fontainebleau,musee national du chateau de Fontainebleau,Chateau de Fontainebleau - Place du general de Gaulle,Chateau de Fontainebleau,77300,01 60 71 50 70,"48,402815","2,696858",7718601
M0370,Île-de-France,Seine-et-Marne,Barbizon,musee de l'ecole de Barbizon - auberge Ganne,"92, Grande Rue",Auberge Ganne,77630,01 60 66 22 27,"48,446181","2,602464",7702201
M0372,Île-de-France,Seine-et-Marne,Coulommiers,musee municipal des Capucins,Parc des capucins,Eglise Notre Dame des Anges,77120,01 64 65 11 31,"48,810834","3,086974",7713101
M0376,Île-de-France,Seine-et-Marne,Lagny-sur-Marne,musee Gatien Bonnet,8 cour Pierre Herbin,,77400,01 64 30 30 78,"48,879644","2,707767",7724301
M0380,Île-de-France,Seine-et-Marne,Moret-sur-Loing,musee municipal,place de Samois,,77250,01 60 70 32 30,"48,373638","2,815046",7731601
M0385,Île-de-France,Seine-et-Marne,Savigny-le-Temple,ecomusee,Place George-Henri Riviere,,77176,01 64 41 75 15,"48,599142","2,570872",7744501
M0420,Île-de-France,Seine-Saint-Denis,Montreuil-sous-bois,musee de l'histoire vivante,"31, boulevard Theophile Sueur",Parc Montreau,93100,01 48 54 32 44 ; 01 48 54 36 08,"48,866151","2,469481",9304801
M0422,Île-de-France,Seine-Saint-Denis,Saint-Denis,musee d'art et d'histoire Paul Eluard,"22 bis, rue Gabriel Peri",,93200,01 42 43 05 10,"48,932336","2,355796",9306601
M0423,Île-de-France,Seine-Saint-Denis,Saint-Ouen,musee municipal,12 rue Albert-Dhalenne,Chateau de Saint-Ouen,93400,01 71 86 62 68,"48,915848","2,330639",9307001
M5024,Île-de-France,Seine-Saint-Denis,Le Bourget,musee de l'air et de l'espace,BP 173,aeroport de Paris - Le Bourget,93352,01 49 92 70 00,"48,9468195065","2,4355624359",9301301
M0434,Île-de-France,Val d'Oise,Guiry-en-Vexin,musee archeologique departemental du Val d'Oise,4 place du Chateau,,95450,01 34 67 45 07,"49,108589","1,849395",9529501
M0435,Île-de-France,Val d'Oise,L'Isle-Adam,musee d'art et d'histoire Louis Senlecq,31 Grande rue,,95290,01 34 69 45 44,"49,112285","2,21638",9531301
M1213,Île-de-France,Val d'Oise,Auvers-sur-Oise,Musee Daubigny,Manoir des Colombieres,Rue de la Sansonne,95430,130368020,"49,071480153","2,1717832501",
M0437,Île-de-France,Val d'Oise,Montmorency,musee Jean-Jacques Rousseau,"5, rue Jean-Jacques Rousseau","5, rue Jean-Jacques Rousseau",95160,01 39 64 80 13,"48,986892","2,320916",9542801
M5012,Île-de-France,Val d'Oise,Ecouen,musee de la Renaissance - chateau d'Ecouen,Chateau d'Ecouen,,95440,01 34 38 38 51,"49,015862","2,378424",9520501
M0436,Île-de-France,Val d'Oise,Louvres,"ARCHeA, Archeologie en Pays de France",56 rue de Paris,,95380,01 34 09 01 02,"49,041117","2,50695",9535101
M0438,Île-de-France,Val d'Oise,Pontoise,musee Tavet Delacour,"4, rue Lemercier",,95300,01 30 38 02 40,"49,050929","2,099776",9550001
M0432,Île-de-France,Val d'Oise,Argenteuil,musee du vieil Argenteuil,12-14 Boulevard Leon Feix,Hotel de Ville,95100,01 34 23 42 11,"48,946909","2,249331",9501801
M0439,Île-de-France,Val d'Oise,Pontoise,musee Pissarro,"17, rue du Chateau","17, rue du Chateau",95300,01 30 38 02 40,"49,048396","2,099887",9550002
M5064,Île-de-France,Val-de-Marne,Maisons-Alfort,musee Fragonard,7 avenue du General de Gaulle,"Ecole Nationale Veterinaire d'Alfort, Maisons-Alfort cedex",94704,01 43 96 71 72,"48,8127828266","2,4233629652",9404601
M0425,Île-de-France,Val-de-Marne,Champigny-sur-Marne,musee de la resistance nationale,88 avenue Marx Dormoy BP 135,Parc Vercors,94501,01 48 81 00 80,"48,8074834935","2,5253628707",9401701
M0424,Île-de-France,Val-de-Marne,Bry-sur-Marne,musee Adrien Mentienne,"1, grande rue Charles de Gaulle",Hotel de Ville,94360,01 45 16 68 00,"48,835224","2,519827",9401501
M0426,Île-de-France,Val-de-Marne,Fresnes,ecomusee,"41, rue Maurice Tenine",Ferme de Cottinville,94260,01 41 24 32 24,"48,75525","2,326389",9403401
M0429,Île-de-France,Val-de-Marne,Saint Maur des Fosses,musee de Saint-Maur - Villa Medicis,"5, rue Saint-Hilaire - 92, avenue du Bac - Rue de la Poste",Carre Medicis,94210,01 48 86 33 28,"48,7931093781","2,5149018358",9406801
M0431,Île-de-France,Val-de-Marne,Vitry-sur-Seine,musee d'art contemporain du Val-de-Marne,Place de la Liberation,,94400,01 43 91 64 20,"48,792821","2,387072",9408101
M0427,Île-de-France,Val-de-Marne,Nogent-sur-Marne,musee,"36, boulevard Gallieni",Batiment industriel,94130,01 48 75 51 25,"48,84026","2,484292",9405201
M0430,Île-de-France,Val-de-Marne,Villiers-sur-Marne,musee Emile Jean,"31, rue Louis-Lenoir",,94350,01 49 30 46 96,"48,826701","2,543144",9407901
M0394,Île-de-France,Yvelines,Poissy,musee du jouet Pierre Pinel,1 enclos de l'Abbaye,Prieure royal Saint-Louis,78300,01 39 22 56 01,"48,928429","2,037892",7849801
M0397,Île-de-France,Yvelines,Saint-Germain-en-Laye,musee municipal,38 rue au Pain,,78000,0134 51 05 12,"48,794403","2,127681",7855102
M0387,Île-de-France,Yvelines,Conflans-Sainte-Honorine,musee de la batellerie,Place Gevelot,Chateau du Prieure,78700,01 34 90 39 50,"48,992445","2,095621",7817201
M0390,Île-de-France,Yvelines,Marly-le-Roi-Louveciennes,musee du domaine royal de Marly Louveciennes/Marly-le-Roi,1 Grille royale - Parc de Marly,,78160,01 39 69 06 26,"48,859572","2,109482",7835001
M0391,Île-de-France,Yvelines,Maule,musee Victor Aubert,,"24, rue Quincampoix",78580,01 30 90 61 49,"48,908246","1,847178",7838001
M0398,Île-de-France,Yvelines,Montigny-le-Bretonneux,musee de la ville,Quai François Truffaut,MUMED,78180,01 34 52 28 80,"48,782594","2,042664",7820801
M0399,Île-de-France,Yvelines,Saint-Remy-les-Chevreuses,collections de la fondation de Coubertin,Conservation des collections,Domaine de Coubertin,78470,01 30 85 69 89,"48,706544","2,069096",7857501
M5045,Île-de-France,Yvelines,Magny-les-Hameaux,musee de Port-Royal des Champs,Route des Granges,,78114,01 30 43 73 05,"48,748437","2,01579",7835601
M0392,Île-de-France,Yvelines,Montfort-l'Amaury,maison-musee Maurice Ravel,5 rue Maurice-Ravel,Le Belvedere,78490,01 34 86 00 89,"48,776137","1,805464",7842001
M0393,Île-de-France,Yvelines,Poissy,musee d'art et d'histoire,,,78300,01 39 22 56 01,"48,92797","2,044648",7849802
M0388,Île-de-France,Yvelines,Jouy-en-Josas,musee de la toile de Jouy,"54, rue Charles de Gaulle",Chateau de l'Eglantine,78350,01 39 56 48 64,"48,768986","2,153216",7832201
M0400,Île-de-France,Yvelines,Versailles,musee Lambinet,"54, boulevard de la Reine",,78000,01 39 50 30 32,"48,808966","2,130624",7864601
M1186,Île-de-France,Yvelines,Medan,musee Zola-Dreyfus,26 Rue Pasteur,,78670,,"48,952745","1,995035",7838401
M5001,Île-de-France,Yvelines,Saint-Germain-en-Laye,musee d'archeologie nationale (des origines a l'an mille) - chateau de Saint-Germain-en-Laye,Place Charles de Gaulle,Chateau,78100,01 39 10 13 00,"48,897879","2,094936",7855103
M0389,Île-de-France,Yvelines,Mantes-la-Jolie,musee de l'hotel-Dieu,1 rue Thiers,,78200,01 34 78 86 60,"48,990874","1,719901",7836101
M0395,Île-de-France,Yvelines,Rambouillet,musee Rambolitrain,"4, place Jeanne d'Arc","4, place Jeanne d'Arc",78120,01 75 03 44 60,"48,646025","1,823892",7851702
M0396,Île-de-France,Yvelines,Saint-Germain-en-Laye,musee departemental Maurice Denis,"2bis, rue Maurice Denis",,78100,01 39 07 87 87,"48,892495","2,087541",7855101
M5077,Île-de-France,Yvelines,Versailles,musee national des chateaux de Versailles et de Trianon,,Chateau de Versailles,78000,01 30 83 78 00,"48,804537","2,134053",7864602
M0658,Normandie,Calvados,Caen,musee de Normandie,Chateau,Logis des Gouverneurs,14000,02 31 30 47 60,"49,162048","-0,34514",1411802
M0669,Normandie,Calvados,Saint-Pierre-sur-Dives,musee des techniques fromageres,rue Saint-Benoît,,14170,02 31 20 97 90,"49,0196","-0,033249",1465401
M7063,Normandie,Calvados,Villers-sur-mer,musee paleontologique,5 avenue Jean Moulin,,14640,02 31 81 77 60,"49,328057","0,013729",1475401
M0654,Normandie,Calvados,Arromanches,musee du Debarquement,Place du 6 juin,,14117,02 31 22 34 31,"49,339971","-0,62156",1402101
M0659,Normandie,Calvados,Caen,"memorial de Caen, un musee pour la paix",BP 6261,"Esplanade Eisenhower, Caen cedex 4",14066,02 31 06 06 44,"49,1975113387","-0,3838400268",1411804
M0655,Normandie,Calvados,Bayeux,Tapisserie de Bayeux - MAHB musee d'art et d'histoire Baron Gerard,"Centre Guillaume le Conquerant, 13bis rue de Nesmond, 14400 Bayeux (Tapisserie de Bayeux) / 37, rue du Bienvenu (MAHB)",Ancien seminaire (Tapisserie de Bayeux) / Ancien palais episcopal (MAHB),14402,02 31 51 25 50,"49,2761518741","-0,7030630311",1404701
M0657,Normandie,Calvados,Caen,musee des beaux-arts,Musee des beaux-arts,Le Chateau ducal,14000,02.31.30.47.70,"49,1861512283","-0,3612238194",1411801
M0663,Normandie,Calvados,Le-Molay-Littry,musee de la mine,rue de La Fosse-Frandemiche,,14330,02 31 22 89 10,"49,243172","-0,877058",1437001
M0664,Normandie,Calvados,Le-Molay-Littry,musee de la meunerie - moulin de Marcy,Moulin de Marcy,,14330,02 31 21 42 13,"49,227605","-0,904606",1437002
M0665,Normandie,Calvados,Lisieux,musee d'art et d'histoire,"38, boulevard Pasteur",,14100,02 31 62 07 70,"49,144581","0,219329",1436601
M0666,Normandie,Calvados,Orbec,musee municipal le vieux manoir,107 rue Grande,Le Vieux-Manoir,14290,02 31 32 58 89,"49,022096","0,406804",1447801
M0670,Normandie,Calvados,Tilly-sur-Seulles,musee de la bataille de Tilly-sur-Seulles,Chapelle Notre-Dame-du-Val,,14250,02 31 80 92 10,"49,177537","-0,612546",1469201
M0672,Normandie,Calvados,Vire,musee municipal,2 place Sainte-Anne,,14500,02 31 66 66 50,"48,835996","-0,888245",1476201
M1077,Normandie,Calvados,Vieux,musee et sites archeologiques de Vieux-la-Romaine,13 chemin Hausse,,14930,02 31 71 10 20,"49,105412","-0,431321",1474701
M0656,Normandie,Calvados,Beaumont-en-Auge,musee Langlois,A la mairie,,14950,02 31 64 85 41,"49,263268","0,107383",1405501
M0660,Normandie,Calvados,Caen,musee de la Societe des antiquaires,S'adresser a la mairie,,14000,,"49,181301602","-0,3721511292",1411805
M0661,Normandie,Calvados,Honfleur,musee Eugene Boudin,Rue de l'Homme de Bois,Honfleur Cedex,14602,02 31 89 54 00,"49,4224175879","0,2308667346",1433302
M0662,Normandie,Calvados,Honfleur,musee d'ethnographie et d'arts populaires et musee de la marine,Quai Saint-Etienne et rue de la Prison,,14600,02 31 89 14 12,"49,419863","0,233625",1433301
M0668,Normandie,Calvados,Saint-Germain-de-Livet,chateau,D 268,Chateau de Saint-Germain-de-Livet,14100,02 31 31 00 03,"49,074299","0,191032",1458201
M0667,Normandie,Calvados,Pontecoulant,musee du chateau,Chateau de Pontecoulant,,14110,02 31 69 62 54,"48,896128","-0,587689",1451201
M0671,Normandie,Calvados,Trouville-sur-Mer,musee de la villa Montebello,64 rue du General-Leclerc,,14360,02 31 88 51 33,"49,37135","0,083538",1471501
M7072,Normandie,Calvados,Caen,musee d'initiation a la nature,Esplanade Jean - Marie Louvel,Hotel de Ville,14027,02 31 30 43 27,"49,1805900976","-0,3721871564",1411803
M0702,Normandie,Eure,Conches-en-Ouche,musee municipal,route de Sainte-Marguerite,,27190,02 32 30 90 41,"48,955254","0,935945",2716501
M0704,Normandie,Eure,La Couture-Boussey,musee des instruments a vent,Place de l'Eglise,,27750,02 32 36 28 80,"48,908972","1,386877",2718301
M0708,Normandie,Eure,Vernon,musee Alphonse-Georges Poulain,12 rue du Pont,Ancien Hotel Particulier,27200,02 32 21 28 09,"49,094855","1,484927",2768101
M0701,Normandie,Eure,Bernay,musee municipal,Place Guillaume-de-Volpiano,Ancien Palais abbatial,27300,02 32 46 63 23,"49,088944","0,598806",2705601
M0706,Normandie,Eure,Louviers,musee municipal,Place Ernest Thorel,,27400,02 32 09 58 54,"49,215649","1,168552",2737501
M0703,Normandie,Eure,Evreux,musee de l'ancien evêche,6 rue Charles Corbeau,Ancien evêche,27000,02 32 31 81 90,"49,023998","1,1502",2722901
M0705,Normandie,Eure,Les Andelys,musee Nicolas Poussin,Rue Sainte-Clotilde,Maison,27700,02 32 54 31 78,"49,245827","1,420009",2701601
M0707,Normandie,Eure,Pont-Audemer,musee Alfred Canel,64 rue de la Republique,,27500,02 32 56 84 81,"49,356747","0,515774",2746701
M0682,Normandie,Manche,Granville,musee d'Art et d'Histoire de Granville,2 rue Lecarpentier,Logis du Roi,50400,02 33 50 44 10,"48,837248","-1,602814",5021802
M0685,Normandie,Manche,Saint-Lo,musee des beaux-arts,Place du Champ de Mars,La Source,50000,02 33 72 52 55,"49,116174","-1,087574",5050201
M0679,Normandie,Manche,Cherbourg,musee de la Liberation,Montee des Resistants,Fort du Roule,50100,02 33 20 14 12,"49,630736","-1,616324",5012903
M0680,Normandie,Manche,Coutances,musee Quesnel-Moriniere,2 rue Quesnel-Moriniere,,50200,02 33 07 07 88,"49,047263","-1,446668",5014701
M0684,Normandie,Manche,Granville,musee Christian Dior,,"Villa ""Les Rhumbs""",50400,02 33 61 48 21,"48,83751","-1,588374",5021803
M0693,Normandie,Manche,Villedieu-les-Poêles,musee de la poêlerie,25 rue du General Huard,Cour du Foyer,50800,02 33 69 33 44,"48,840754","-1,221648",5063901
M0687,Normandie,Manche,Saint-Michel-de-Montjoie,musee du Granit,Le bourg - 50670 Saint-Michel-de-Montjoie,Le haut-du-Bourg,50670,02 33 59 02 22,"48,774021","-1,037895",5052501
M0691,Normandie,Manche,Valognes,musee regional du cidre et du calvados,Rue du Petit-Versailles,,50700,06 75 89 89 52,"49,505993","-1,470416",5061501
M1190,Normandie,Manche,Sainte-Mere-Eglise,ferme-musee du Cotentin,1 rue de Beauvais,,50480,02 33 95 40 20,"49,412401","-1,319894",5052301
M0675,Normandie,Manche,Bricquebec,musee du vieux chateau,Cour du Chateau,,50260,02 33 87 22 50,"49,424753","-1,649839",5008201
M0681,Normandie,Manche,Equeurdreville-Hainneville,musee municipal,Hotel de Ville,CD d'Equeurdreville-Hainneville,50120,02 33 53 96 45,"49,6489933714","-1,6526443525",5017301
M0688,Normandie,Manche,Saint-Sauveur-le-Vicomte,musee Barbey d'Aurevilly,66 rue Bottin Desylles,,50390,02 33 41 65 18,"49,384499","-1,533001",5055101
M0689,Normandie,Manche,Saint-Vaast-la-Hougue,musee maritime de l'île Tatihou,BP 3,,50550,02 33 54 33 33,"49,587648","-1,267813",5056201
M0690,Normandie,Manche,Torigni-sur-Vire,musee du chateau,Place Charles-De-Gaulle,Chateau des Matignon,50160,02 33 56 71 44,"49,0340988297","-0,9787106673",5060101
M0673,Normandie,Manche,Avranches,musee municipal de l'Avranchin,place Jean de Saint-Avit,,50300,02 31 60 83 29,"48,687696","-1,363384",5002501
M0674,Normandie,Manche,Barenton,musee du Poire,La Logeraie,La Logeraie,50720,02 33 59 56 22,"48,587979","-0,806137",5002901
M0676,Normandie,Manche,Cerisy-la-Forêt,musee de l'abbaye,Place du Cardinal Guilbert,Abbatiale Saint-Vigor,50680,02 33 57 34 63,"49,19308","-0,936738",5011001
M0677,Normandie,Manche,Cherbourg,musee Thomas Henry,Esplanade de la Laïcite,Le Quasar,50100,02 33 23 39 30,"49,638452","-1,625439",5012902
M0678,Normandie,Manche,Cherbourg,musee Emmanuel Liais,19 ter rue Bonhomme,Parc Emanuel Liais,50100,02 33 53 51 61,"49,6429","-1,630729",5012901
M0683,Normandie,Manche,Granville,musee Richard Anacreon,place de l'Isthme,,50400,02 33 51 02 94,"48,838549","-1,600543",5021801
M0686,Normandie,Manche,Saint-Lo,"musee du bocage normand, ferme du bois Jugan",Boulevard de la Commune,Ferme de Boisjugan,50000,02 33 72 52 55,"49,114654","-1,074964",5050203
M0697,Normandie,Orne,La Ferte-Mace,musee municipal - musee du jouet,,32 rue de la Victoire,61200,02 33 37 04 08,"48,5905689691","-0,3590626631",6116801
M0698,Normandie,Orne,Mortagne-au-Perche,musee percheron,Rue du Portail Saint-Denis,,61400,02 33 25 25 87,"48,521951","0,547043",6129301
M0696,Normandie,Orne,L'Aigle,musee municipal d'archeologie,place Fulbert de Beina,Office du Tourisme,61300,02 33 84 44 44,"48,764955","0,628791",6121401
M0700,Normandie,Orne,Sees,musee departemental d'art sacre,Place du General de Gaulle,Sees,61500,02 33 81 23 00,"48,605422","0,171614",6146401
M0694,Normandie,Orne,Alençon,musee des beaux-arts et de la dentelle,12 rue Charles Aveline,Cour carree de la Dentelle,61000,02 33 32 40 07,"48,431484","0,083508",6100101
M0695,Normandie,Orne,Flers,musee du chateau de Flers,BP 229,Chateau,61104,02 33 64 66 49,"48,7696360402","-0,5149048824",6116901
M0699,Normandie,Orne,Saint-Cyr-La-Rosiere,musee departemental des arts et traditions populaires du Perche,"5, hameau de Sainte-Gauburge",Prieure de Sainte-Gauburge,61130,02 33 73 48 06,"48,324387","0,656069",6137901
M0711,Normandie,Seine-Maritime,Caudebec-en-Caux,mausee de la marine de Seine,Avenue Winston Churchill,,76490,02 35 95 90 13,"49,524671","0,72058",7616401
M0712,Normandie,Seine-Maritime,Dieppe,chateau-musee,Rue de Chastes,Chateau de Dieppe,76200,02 35 06 61 99,"49,923908","1,071756",7621701
M0726,Normandie,Seine-Maritime,Montville,musee des sapeurs pompiers de France,Rue Baron Bigot,,76710,02 35 33 13 51,"49,546845","1,076136",7645201
M0729,Normandie,Seine-Maritime,Rouen,musee des beaux-arts,Esplanade Marcel Duchamp,,76000,02 35 71 28 40,"49,44499","1,09396",7654005
M0735,Normandie,Seine-Maritime,Saint-Nicolas-d'Aliermont,musee de l'horlogerie,48 rue edouard Cannevel,,76510,02 35 04 53 98,"49,879641","1,219788",7662401
M5067,Normandie,Seine-Maritime,Rouen,musee national de l'education,185 rue Eau-de-Robec,Maison des Quatre Fils Aymon,76000,02 35 07 66 61,"49,441397","1,101667",7654002
M0727,Normandie,Seine-Maritime,Neufchatel-en-Bray,musee Mathon-Durand,53 Grande Rue Saint-Pierre,,76270,02 35 93 06 55,"49,730766","1,436734",7646201
M1099,Normandie,Seine-Maritime,Elbeuf,musee municipal,7 cours Gambetta,,76500,02 32 96 30 40,"49,285546","1,006479",7623101
M7012,Normandie,Seine-Maritime,Rouen,museum d'histoire naturelle,198 rue Beauvoisine,,76000,02 35 71 41 50,"49,447268","1,098932",7654007
M7015,Normandie,Seine-Maritime,Le Havre,museum d'histoire naturelle,Place du Vieux Marche,,76600,02 35 41 37 28,"49,487552","0,108231",7635104
M0710,Normandie,Seine-Maritime,Caudebec-en-Caux,maison des templiers,Rue Thomas-Bazin,,76490,02 35 96 95 91,"49,525351","0,725967",7616402
M0720,Normandie,Seine-Maritime,Le Havre,musee Malraux,"2, boulevard Clemenceau",,76600,02 35 19 62 62,"49,484796","0,102188",7635101
M0725,Normandie,Seine-Maritime,Martainville-Epreville,musee des traditions et arts normands,Route du chateau,Chateau de Martainville,76116,02 35 23 44 70,"49,460211","1,292253",7641201
M0713,Normandie,Seine-Maritime,Dieppedalle-Croisset,pavillon Flaubert,18 quai Gustave Flaubert,,76380,02 76 08 80 76,"49,435017","1,031203",7615701
M0722,Normandie,Seine-Maritime,Petit-Couronne,musee Pierre Corneille,502 rue Pierre Corneille,,76650,02 35 68 13 89,"49,389368","1,0216",7649701
M0728,Normandie,Seine-Maritime,Notre-Dame-de-Bondeville,musee industriel de la corderie Valois,185 route de Dieppe,,76960,02 35 74 35 35,"49,494507","1,048567",7647401
M0731,Normandie,Seine-Maritime,Rouen,musee Pierre Corneille,"4, rue de la Pie",,76000,02 35 71 63 92,"49,443051","1,086748",7654009
M0734,Normandie,Seine-Maritime,Rouen,musee Flaubert et d'histoire de la medecine,51 rue de Lecat,Ancien Hotel-Dieu,76000,02 35 15 59 95,"49,445232","1,081736",7654003
M0709,Normandie,Seine-Maritime,Barentin,musee municipal,Rue Madeleine Vernet,Theatre Montdory,76360,02 32 94 90 20,"49,545218","0,952073",7605701
M0714,Normandie,Seine-Maritime,Eu,musee Louis Philippe,Place d'Orleans,Chateau d'Eu,76260,02 27 28 20 76,"50,049138","1,418369",7625501
M0715,Normandie,Seine-Maritime,Fecamp,"Les Pêcheries, musee de Fecamp",3 quai capitaine Jean Recher,,76400,02 35 28 31 99,"49,76179","0,36825",7625901
M0717,Normandie,Seine-Maritime,Harfleur,musee du prieure,50 rue de la Republique,,76700,02 35 13 30 58,"49,507156","0,19911",7634101
M0718,Normandie,Seine-Maritime,Le Havre,musee de l'ancien Havre,1 rue Jerome Bellarmato,,76600,02 35 42 27 90,"49,488805","0,114474",7635103
M0719,Normandie,Seine-Maritime,Le Havre,musee du prieure de Graville,Rue de l'Abbaye,Abbaye,76600,02 35 24 51 00,"49,503006","0,168325",7635102
M0721,Normandie,Seine-Maritime,Le Havre,musee de l'armateur,3 quai de l'Ile,,76600,02 35 19 09 85,"49,486857","0,112815",7635105
M0723,Normandie,Seine-Maritime,Notre-Dame-de-Bliquetuit,ecomusee de la basse Seine,"692, rue du petit pont",Maison du Parc naturel regional des Boucles de la Seine Normande,76940,02 35 37 23 16,"49,497518","0,757352",7647301
M0724,Normandie,Seine-Maritime,Lillebonne,musee municipal,7 rue Victor Hugo,Square Jean Rostand,76170,02 32 84 02 07,"49,517842","0,535803",7638401
M0730,Normandie,Seine-Maritime,Rouen,musee de la ceramique,1 rue Faucon,Hotel d'Hocqueville,76000,02 35 07 31 74,"49,445543","1,093846",7654010
